epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5075,2.57467,5.08542,2.00516,0.13356,0.625,0.03736,0.0405,0.03543,1.51719,4.77375,1.70803,0.08212,7.86222e-05,7.86222e-05,7.86222e-05
2,28.7839,2.06878,4.85169,1.68074,0.11521,0.58333,0.03723,0.0405,0.03553,1.5926,4.61412,1.62487,0.08171,0.000153621,0.000153621,0.000153621
3,42.7458,2.01746,4.68526,1.56285,0.10816,0.58302,0.03333,0.03635,0.03444,1.516,4.42988,1.51567,0.07175,0.000222179,0.000222179,0.000222179
4,56.7099,1.97711,4.45005,1.46805,0.10652,0.07478,0.0504,0.04566,0.03973,1.51434,4.13073,1.45998,0.06772,0.000215013,0.000215013,0.000215013
5,70.5799,1.92597,4.28414,1.45673,0.09549,0.08495,0.13021,0.08298,0.06474,1.54345,3.89433,1.4367,0.07045,0.00020535,0.00020535,0.00020535
6,85.1042,1.91355,3.98513,1.40439,0.08437,0.0766,0.19206,0.113,0.08095,1.51431,3.67268,1.39091,0.06731,0.000195688,0.000195688,0.000195688
7,99.2235,1.83841,3.78031,1.33067,0.08348,0.08149,0.22453,0.13264,0.0918,1.49876,3.51909,1.37256,0.06545,0.000186026,0.000186026,0.000186026
8,113.574,1.89846,3.59836,1.3381,0.08554,0.40826,0.17106,0.1417,0.10276,1.50116,3.31892,1.36667,0.06193,0.000176363,0.000176363,0.000176363
9,127.961,1.82172,3.34797,1.30602,0.08358,0.42037,0.16981,0.14986,0.10816,1.51365,3.12237,1.35808,0.06577,0.000166701,0.000166701,0.000166701
10,143.999,1.92269,3.19945,1.23137,0.09314,0.42658,0.16198,0.158,0.11235,1.48917,2.93186,1.33956,0.06427,0.000157038,0.000157038,0.000157038
11,158.971,1.83189,3.00709,1.31069,0.08934,0.43278,0.21398,0.16394,0.11627,1.48711,2.80592,1.33341,0.06374,0.000147376,0.000147376,0.000147376
12,174.162,1.87711,2.92062,1.25142,0.08398,0.40969,0.22257,0.16885,0.12096,1.47756,2.67044,1.33323,0.05972,0.000137714,0.000137714,0.000137714
13,188.78,1.82956,2.78543,1.24324,0.0891,0.44979,0.2326,0.17281,0.12159,1.47288,2.55727,1.33007,0.05839,0.000128051,0.000128051,0.000128051
14,203.735,1.82464,2.60857,1.20932,0.09124,0.40955,0.24856,0.17646,0.1286,1.45,2.47613,1.32424,0.05863,0.000118389,0.000118389,0.000118389
15,218.573,1.74079,2.64682,1.27545,0.074,0.44558,0.26337,0.17783,0.12743,1.42766,2.43944,1.31081,0.05746,0.000108726,0.000108726,0.000108726
16,232.174,1.67921,2.62811,1.27122,0.0763,0.46179,0.24266,0.1879,0.13674,1.40933,2.3868,1.28554,0.05483,9.9064e-05,9.9064e-05,9.9064e-05
17,244.901,1.65353,2.61005,1.27015,0.07079,0.46402,0.24834,0.19608,0.14113,1.41413,2.32817,1.2801,0.05428,8.94016e-05,8.94016e-05,8.94016e-05
18,257.265,1.59776,2.52905,1.24359,0.06761,0.43067,0.26409,0.20637,0.14786,1.41537,2.28429,1.27287,0.0546,7.97392e-05,7.97392e-05,7.97392e-05
19,270.135,1.61806,2.54009,1.29265,0.069,0.43721,0.25033,0.21729,0.15642,1.42516,2.25995,1.272,0.05557,7.00768e-05,7.00768e-05,7.00768e-05
20,282.654,1.64189,2.43487,1.22879,0.06769,0.43442,0.28448,0.21526,0.15341,1.43713,2.22475,1.26843,0.05862,6.04144e-05,6.04144e-05,6.04144e-05
21,295.278,1.59849,2.45627,1.27951,0.06802,0.44602,0.23382,0.21388,0.15439,1.41079,2.17837,1.25073,0.05805,5.0752e-05,5.0752e-05,5.0752e-05
22,308.199,1.60778,2.41395,1.21182,0.06944,0.45342,0.22398,0.20738,0.14824,1.38776,2.14957,1.24407,0.05652,4.10896e-05,4.10896e-05,4.10896e-05
23,321.54,1.63899,2.51639,1.24222,0.07185,0.45555,0.22578,0.20834,0.14871,1.38455,2.1353,1.24386,0.05681,3.14272e-05,3.14272e-05,3.14272e-05
24,334.723,1.62001,2.40829,1.2492,0.07012,0.45923,0.22268,0.21011,0.15237,1.39036,2.12908,1.24119,0.05634,2.17648e-05,2.17648e-05,2.17648e-05
25,348.271,1.59425,2.47328,1.23571,0.06411,0.45432,0.22231,0.21303,0.15449,1.39853,2.1246,1.24551,0.05652,1.21024e-05,1.21024e-05,1.21024e-05
